Date,High,Low,Close,Volume,H-L,3day MA,10day MA,30day MA,Std_dev,RSI,ATR,Last 1 Price,Last 2 Price,Last 3 Price,Last 4 Price,Last 5 Price,Upperband,Middleband,Lowerband,Real,ADX
2014-06-16,10.092,9.3002,9.8559,16160.94405856,0.7918000000000003,9.914966666666666,10.72599,10.938496666666667,0.2685524585625758,31.123538254222083,0.6494328771276953,9.789,9.6799,10.276,10.225,11.051,10.445561242295978,9.965160000000004,9.48475875770403,27.732161788803072,40.98404364448066
2014-06-17,10.06,9.55,9.652,10993.27647649,0.5099999999999998,9.774933333333331,10.58088,10.916693333333335,0.2516784913336944,28.21502249281001,0.6295138946808816,9.8559,9.789,9.6799,10.276,10.225,10.300776172076809,9.850560000000005,9.400343827923201,28.830912777981613,40.66385927108414
2014-06-18,9.94,9.53,9.53,4266.28580045,0.41000000000000014,9.765633333333334,10.432080000000001,10.889026666666666,0.12631762743182512,26.545224306925817,0.5981547668693271,9.652,9.8559,9.789,9.6799,10.276,9.927323841354156,9.701360000000005,9.475396158645854,29.881573720525417,40.400995837205
2014-06-19,10.3,9.5101,10.152,12284.46381784,0.7899000000000012,9.6793,10.25988,10.86256,0.23551261537336926,45.16020157820469,0.6255469430308519,9.53,9.652,9.8559,9.789,9.6799,10.217077774026288,9.795780000000004,9.37448222597372,29.558844945170694,38.901149200150314
2014-06-20,10.276,9.7,9.7101,9078.20023974,0.5760000000000005,9.778,10.152080000000002,10.85466,0.23870212609024788,37.553752642405534,0.6184688083121588,10.152,9.53,9.652,9.8559,9.789,10.20700334424856,9.780000000000005,9.352996655751449,29.259168225198444,37.50843446574238
2014-06-21,9.9399,9.7,9.88,2493.10014619,0.23990000000000045,9.797366666666667,9.992090000000001,10.81833,0.24085153518299318,41.794223377232356,0.5643875499818505,9.7101,10.152,9.53,9.652,9.8559,10.215668324122777,9.784820000000005,9.353971675877233,28.980896985224216,36.21519935522074
2014-06-22,9.95,9.7885,9.859,785.26273506,0.16149999999999842,9.914033333333334,9.87499,10.787663333333334,0.2298529790975187,41.403273712266625,0.5068321856987288,9.88,9.7101,10.152,9.53,9.652,10.237393508873701,9.826220000000005,9.415046491126308,28.682944055881457,34.976154551750895
2014-06-23,9.8786,9.6101,9.7167,2309.39959914,0.2685000000000013,9.816366666666667,9.83839,10.752963333333334,0.17930876442607085,38.647378181768175,0.4727847305989106,9.859,9.88,9.7101,10.152,9.53,10.184317268973922,9.863560000000003,9.542802731026084,28.822609572162843,34.28040619743613
2014-06-24,9.8856,9.5619,9.6641,7685.52929359,0.32370000000000054,9.818566666666667,9.782459999999999,10.700186666666667,0.09693284788968186,37.60644298641848,0.4514869119419234,9.7167,9.859,9.88,9.7101,10.152,9.939378749706199,9.765980000000003,9.592581250293806,29.06158170183591,33.75357462503374
2014-06-25,9.6723,9.201,9.2651,6404.72589343,0.4712999999999994,9.746599999999999,9.78088,10.64499,0.24785938957401665,30.57808842855769,0.45431735309307714,9.6641,9.7167,9.859,9.88,9.7101,10.120364355158747,9.676980000000004,9.23359564484126,30.015119819721434,34.0608677833394
2014-06-26,9.2682,9.04,9.0716,4911.20363663,0.22820000000000107,9.548633333333333,9.72849,10.56716,0.33177658898723406,27.748687765929407,0.42201487407978056,9.2651,9.6641,9.7167,9.859,9.88,10.108800005054484,9.515300000000002,8.92179999494552,31.178780626173673,34.6483467180239
2014-06-27,9.3365,9.0211,9.1536,6137.89413503,0.31539999999999857,9.333599999999999,9.65006,10.486213333333332,0.2972718402405516,30.801271856370317,0.4067841777826689,9.0716,9.2651,9.6641,9.7167,9.859,9.905996034059104,9.374220000000003,8.842443965940902,31.946070022657654,34.88639563003751
2014-06-28,9.34,9.0876,9.15,1666.6405846,0.25239999999999974,9.163433333333336,9.60022,10.415166666666668,0.23570875461043989,30.737132231801194,0.3847292952422876,9.1536,9.0716,9.2651,9.6641,9.7167,9.682528638560171,9.260880000000002,8.839231361439833,32.64181162310984,35.09101379605929
2014-06-29,9.2009,9.0,9.0,5064.04745225,0.20090000000000074,9.125066666666667,9.56222,10.353466666666666,0.09937393018294759,28.0036647362495,0.3584679673505323,9.15,9.1536,9.0716,9.2651,9.6641,9.30582549046367,9.128060000000001,8.950294509536333,33.46536702702128,35.47218337992908
2014-06-30,9.1759,8.75,8.9698,16041.70252128,0.4259000000000004,9.1012,9.44702,10.291033333333333,0.08415248065271479,27.450731498741852,0.36810111487188496,9.0,9.15,9.1536,9.0716,9.2651,9.219536533770828,9.069,8.918463466229174,34.69191823297552,36.32277440249374
2014-07-01,9.1,8.55,8.566,15370.81690814,0.5499999999999989,9.039933333333332,9.37299,10.20736,0.2398971279528072,21.164641018209277,0.394086669890187,8.9698,9.0,9.15,9.1536,9.0716,9.39702102856709,8.967880000000003,8.538738971432915,36.15074096791408,37.456018028287055
2014-07-02,8.62,7.4,8.2967,72176.95261231,1.2199999999999989,8.845266666666667,9.24159,10.125893333333332,0.35331914751398014,18.0614904224996,0.512074288477303,8.566,8.9698,9.0,9.15,9.1536,9.428536505274428,8.796500000000004,8.16446349472558,38.65859697870008,39.74233676974871
2014-07-03,8.2679,7.81,8.03,15858.97641638,0.45789999999999953,8.610833333333334,9.08536,10.02725,0.4216093215288361,15.525353845461096,0.5084493901234025,8.2967,8.566,8.9698,9.0,9.15,9.326697682308517,8.572500000000003,7.818302317691491,40.98732041728709,41.8653470296774
2014-07-04,8.0523,7.282,7.311,24663.02949483,0.7703000000000007,8.297566666666667,8.91669,9.906283333333334,0.6223141248597892,10.888334528418566,0.5458566201057736,8.03,8.2967,8.566,8.9698,9.0,9.347929349235605,8.234700000000004,7.121470650764403,43.47969149892106,44.18865773075169
2014-07-05,7.604,6.737,7.301,48962.20682274,0.867,7.879233333333332,8.68138,9.78115,0.575227014316961,10.837687072278406,0.5917342458049488,7.311,8.03,8.2967,8.566,8.9698,8.929937365205355,7.900940000000004,6.871942634794654,46.05521318133367,46.624211325336766
2014-07-06,7.3979,6.8,7.107,32771.50098556,0.5979000000000001,7.5473333333333334,8.48497,9.646483333333332,0.5210192395679879,9.83884974857205,0.5926150678328133,7.301,7.311,8.03,8.2967,8.566,8.54116754980718,7.609140000000004,6.677112450192826,48.446769029288234,48.8857968060229
